"id";"ssflag";"pagenumberinocrdocument";"authorfirstname";"authorlastname";"title";"firsteditionpublisher";"firsteditionpublicationplace";"firsteditionpublicationyear";"secondeditionpublisher";"secondeditionpublicationplace";"secondeditionpublicationyear";"additionalinfos";"ocrresult"
"73992";"2";"77";"Friedrich Salomo";"Krauss";"Erotische Zauberwahnprozesse zu Berlin im Jahre 1913";"Ethnol. Verl.";"Leipzig";"1913";"";"";"";"";"Krauss, Friedrich Salomo: Erotische Zauberwahnprozesse zu Berlin im Jahre 1913. Leipzig: Ethnol. Verl. 1913."
"73993";"2";"77";"Hannah";"Krautheim";"Die Frauenkammer";"Rummel";"Berlin";"1933";"";"";"";"";"Krautheim, Hannah: Die Frauenkammer. Berlin: Rummel 1933."
"73994";"2";"77";"Bjarnat";"Krawc";"Žórleško serbskich dwojospĕwow";"Maćica Serbska";"Bautzen";"1925";"";"";"";"";"Krawc, Bjarnat: Žórleško serbskich dwojospĕwow.  Bautzen: Maćica Serbska 1925."
"73995";"1";"77";"Paul";"Kreglinger";"Judenverfolgung in Deutschland";"Selbstverl.";"Utrecht";"1933";"";"";"";"";"Kreglinger, Paul: Judenverfolgung in Deutschland. Utrecht: Selbstverl. 1933."
"73996";"2";"77";"Karl";"Kreibisch";"Ein Wort an die Arbeiterjugend";"Wiener Volksbuchh.";"Wien";"1910";"";"";"";"";"Kreibisch, Karl: Ein Wort an die Arbeiterjugend. Wien: Wiener Volksbuchh. 1910."
"73997";"2";"77";"Fritz";"Kreisler";"Wer hat Dollfuss ermordet?";"Gärtner";"Bodenbach";"1934";"";"";"";"";"Kreisler, Fritz: Wer hat Dollfuss ermordet? Bodenbach: Gärtner 1934."
"73998";"2";"77";"Max";"Krell";"Die Entfaltung";"Rowohlt";"Berlin";"1921";"";"";"";"";"Krell, Max: Die Entfaltung. Berlin: Rowohlt 1921."
"73999";"2";"77";"Jonas";"Kreppel";"1935, das Schicksalsjahr Europas";"Verl. »Das Buch«";"Wien";"1935";"";"";"";"";"Kreppel, Jonas: 1935, das Schicksalsjahr Europas. Wien: Verl. »Das Buch« 1935."
"74000";"1";"77";"M.";"Kreuser";"Im Zeichen der Myrte. Mädchen u. Liebe";"Missionsdruckerei";"Steyl";"1929";"";"";"";"";"Kreuser, M.: Im Zeichen der Myrte. Mädchen u. Liebe. Steyl: Missionsdruckerei 1929."
"74001";"2";"77";"Rudolf Jeremias";"Kreutz";"Sämtliche Schriften";"";"";"";"";"";"";"";"Kreutz, Rudolf Jeremias: Sämtliche Schriften."
"74002";"2";"0";"Guido";"Kreutzer";"Es flüstert die Nacht ...";"Leipziger graph. Werke";"Leipzig";"1922";"";"";"";"";"Kreutzer, Guido: Es flüstert die Nacht ... Leipzig: Leipziger graph. Werke 1922."
"74003";"2";"77";"Guido";"Kreutzer";"Die Hölle der Frauen";"Leipziger graph. Werke";"Leipzig";"1926";"";"";"";"";"Kreutzer, Guido: Die Hölle der Frauen. Leipzig: Leipziger graph. Werke 1926."
"74004";"2";"77";"Guido";"Kreutzer";"Die Minderjährigen";"Vogel & Vogel";"Leipzig";"1920";"";"";"";"";"Kreutzer, Guido: Die Minderjährigen. Leipzig: Vogel & Vogel 1920."
"74005";"2";"77";"Guido";"Kreutzer";"Die 40 Nächte des Monsignore";"Vogel & Vogel";"Leipzig";"1920";"";"";"";"";"Kreutzer, Guido: Die 40 Nächte des Monsignore. Leipzig: Vogel & Vogel 1920."
"74006";"2";"77";"Karl";"Kreybig";"Die Entstehung der Räterepublik Ungarn";"Der Arbeiterrat";"Berlin";"1919";"";"";"";"";"Kreybig, Karl: Die Entstehung der Räterepublik Ungarn. Berlin: Der Arbeiterrat 1919."
"74007";"2";"77";"";"";"Kriegsspionin, Deutsche ~ und politische Propagandistin";"Lutz Nachf.";"Stuttgart";"1930";"";"";"";"";"Kriegsspionin, Deutsche ~ und politische Propagandistin. Stuttgart: Lutz Nachf. 1930."
"74008";"1";"77";"Otto";"Krille";"Der Wanderer im Zwielicht";"Oprecht";"Zürich";"1936";"";"";"";"";"Krille, Otto: Der Wanderer im Zwielicht. Zürich: Oprecht 1936."
"74009";"2";"77";"Michail";"Krischanowski";"Die Planwirtschaftsarbeit in der Sowjetunion";"Verl. f. Lit. u. Politik";"Wien";"1927";"";"";"";"";"Krischanowski, Michail: Die Planwirtschaftsarbeit in der Sowjetunion. Wien: Verl. f. Lit. u. Politik 1927."
"74010";"2";"77";"Paul";"Krische";"Sämtliche Schriften";"";"";"";"";"";"";"";"Krische, Paul: Sämtliche Schriften."
"74011";"1";"77";"M.";"Kriwitzki";"Das Recht auf Arbeit";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1937";"";"";"";"";"Kriwitzki, M.: Das Recht auf Arbeit. Moskau: Verlagsgen. ausländ. Arbeiter 1937."
"74012";"2";"77";"Kamil";"Krofta";"Die Deutschen im tschechoslowakischen Staate";"Orbis-Verl.";"Prag";"1937";"";"";"";"";"Krofta, Kamil: Die Deutschen im tschechoslowakischen Staate. Prag: Orbis-Verl. 1937."
"74013";"2";"77";"Kamil";"Krofta";"Das Deutschtum in der tschechoslowakischen Geschichte";"Orbis-Verl.";"Prag";"1934";"";"";"";"";"Krofta, Kamil: Das Deutschtum in der tschechoslowakischen Geschichte. Prag: Orbis-Verl. 1934."
"74014";"2";"79";"August";"Kuehner";"Was man vor der Ehe von der Ehe wissen muss";"Langkammer";"Dresden";"1923";"W. A. Schwarze";"Dresden";"1936";"";"Kuehner, August: Was man vor der Ehe von der Ehe wissen muss. Dresden: Langkammer 1923. — Dresden: W. A. Schwarze 1936."
"74015";"2";"79";"Fritz u. Ruth";"Kuenkel";"Die Grundbegriffe der Individualpsychologie u. ihre Anwendung in der Erziehung";"Hoffmann";"Berlin";"1927";"";"";"";"";"Kuenkel, Fritz u. Ruth: Die Grundbegriffe der Individualpsychologie u. ihre Anwendung in der Erziehung. Berlin: Hoffmann 1927."
"74016";"2";"79";"Alfred";"Kuermann";"Ludwig XIV. ist tot! Es lebte Adolf Hitler";"Heidemann";"Herford";"1932";"";"";"";"";"Kuermann, Alfred: Ludwig XIV. ist tot! Es lebte Adolf Hitler. Herford: Heidemann 1932."
"74017";"1";"79";"Ferdinand";"Kugler";"Das Geheimnis des Reichstagsbrandes";"Van Munster";"Amsterdam";"1936";"";"";"";"";"Kugler, Ferdinand: Das Geheimnis des Reichstagsbrandes. Amsterdam: Van Munster 1936."
"74018";"2";"79";"Anton";"Kuh";"Sämtliche Schriften";"";"";"";"";"";"";"";"Kuh, Anton: Sämtliche Schriften."
"74019";"2";"79";"";"Ku Hung-Ming";"Vox clamantis";"Der neue Geist";"Leipzig";"1920";"";"";"";"";"Ku Hung-Ming: Vox clamantis. Leipzig: Der neue Geist 1920."
"74020";"1";"79";"Valerian V.";"Kuibyschew";"Episoden aus meinem Leben";"Verlagsgen, ausländ. Arbeiter";"Moskau";"1935";"";"";"";"";"Kuibyschew, Valerian V.: Episoden aus meinem Leben. Moskau: Verlagsgen, ausländ. Arbeiter 1935."
"74021";"1";"79";"Valerian V.";"Kuibyschew";"Der zweite Fünfjahrplan";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1934";"";"";"";"";"Kuibyschew, Valerian V.: Der zweite Fünfjahrplan. Moskau: Verlagsgen. ausländ. Arbeiter 1934."
"74022";"1";"79";"Valerian V.";"Kuibyschew";"Die nächsten Kampfaufgaben des sozialistischen Aufbaus";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1931";"";"";"";"";"Kuibyschew, Valerian V.: Die nächsten Kampfaufgaben des sozialistischen Aufbaus. Moskau: Verlagsgen. ausländ. Arbeiter 1931."
"74023";"1";"79";"Valerian V.";"Kuibyschew";"Vom 6. zum 7. Sowjetkongress der UdSSR";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1935";"";"";"";"";"Kuibyschew, Valerian V.: Vom 6. zum 7. Sowjetkongress der UdSSR. Moskau: Verlagsgen. ausländ. Arbeiter 1935."
"74024";"1";"79";"Frits";"Kuiper";"Sovjet-Russland en het christendom";"U. M. Holland.";"Amsterdam";"1937";"";"";"";"";"Kuiper, Frits: Sovjet-Russland en het christendom. Amsterdam: U. M. Holland. 1937."
"74025";"1";"79";"";"";"Kulturvolk, Ein ~ protestiert. Die öffentliche Meinung Englands über den Hitler-Terror";"Verl. d. Verbandes d. Personals öffentl. Dienste";"Zürich";"1933";"";"";"";"";"Kulturvolk, Ein ~ protestiert. Die öffentliche Meinung Englands über den Hitler-Terror. Zürich: Verl. d. Verbandes d. Personals öffentl. Dienste 1933."
"74026";"2";"79";"Ludwig u. Elfriede";"Kummer";"Das Land ohne Sonntag";"Salis";"Wien";"1932";"";"";"";"";"Kummer, Ludwig u. Elfriede: Das Land ohne Sonntag. Wien: Salis 1932."
"74027";"2";"79";"Karl";"Kumpmann";"Freiheit und Brot";"Junker & Dünnhaupt";"Berlin";"1934";"";"";"";"";"Kumpmann, Karl: Freiheit und Brot. Berlin: Junker & Dünnhaupt 1934."
"74028";"2";"79";"Béla";"Kun";"Sämtliche Werke";"";"";"";"";"";"";"";"Kun, Béla: Sämtliche Werke."
"74029";"1";"79";"Alfred";"Kundert";"Warum immer die Juden?";"Schlaepfer";"Herisau";"1933";"";"";"";"";"Kundert, Alfred: Warum immer die Juden? Herisau: Schlaepfer 1933."
"74030";"2";"79";"";"";"Kuno: Weltbund der Jugend gegen den Krieg";"Jugendinternationale";"Berlin";"1929";"";"";"";"";"Kuno: Weltbund der Jugend gegen den Krieg? Berlin: Jugendinternationale 1929."
