Stimmart;Adresse;Bezirksnummer;Bezirksname;Wahlbezirk;Wahlbezirksart;"Abgeordneten-
hauswahlkreis";"Bundestags-
wahlkreis";OstWest;Wahlberechtigte insgesamt;Wahlberechtigte A1;Wahlberechtigte A2;Wahlberechtigte A3;Wähler;"darunter
Wähler B1
(bei endgültigem Ergebnis)";Ungültige Stimmen;Gültige Stimmen;SPD;CDU;GRÜNE;DIE LINKE;AfD;PIRATEN;FDP;Tierschutzpartei;Die PARTEI;NPD;FAMILIE;Volksabstimmung;ÖDP;FREIE WÄHLER;DKP;MLPD;SGP;BP;TIERSCHUTZ hier!;Tierschutzallianz;Bündnis C;BIG;BGE;DIE DIREKTE!;DiEM25;III. Weg;Die Grauen;DIE RECHTE;DIE VIOLETTEN;LIEBE;DIE FRAUEN;Graue Panther;LKR;MENSCHLICHE WELT;NL;ÖkoLinX;Die Humanisten;PARTEI FÜR DIE TIERE;Gesundheitsforschung;Volt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W215;01;Mitte;215;Urnenwahlbezirk;02;75;O;1 016;772;244;0;469;1;4;465;92;69;56;131;42;4;17;6;16;1;1;0;4;0;0;0;0;1;1;1;0;1;1;0;7;0;1;1;0;0;3;1;0;0;0;0;2;1;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W216;01;Mitte;216;Urnenwahlbezirk;02;75;O;994;749;245;0;475;3;7;468;62;44;92;125;64;1;17;9;16;0;3;0;0;1;1;2;0;0;0;0;0;3;1;2;4;0;1;0;0;0;1;0;2;1;0;3;3;1;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W217;01;Mitte;217;Urnenwahlbezirk;02;75;O;962;770;192;0;349;1;2;347;40;30;70;109;37;4;8;6;21;0;1;1;1;0;0;0;0;0;0;1;1;0;1;0;3;0;0;0;0;0;0;1;0;0;0;2;4;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W218;01;Mitte;218;Urnenwahlbezirk;02;75;O;1 496;1 192;304;0;553;1;7;546;85;65;77;155;74;2;11;11;27;0;1;2;2;9;1;0;0;0;1;1;0;0;0;2;3;0;2;0;0;0;0;2;0;0;0;3;2;2;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W219;01;Mitte;219;Urnenwahlbezirk;02;75;O;339;293;46;0;131;4;1;130;10;10;27;34;15;1;5;6;10;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;2;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W220;01;Mitte;220;Urnenwahlbezirk;02;75;O;754;557;197;0;276;6;3;273;33;19;57;81;27;1;8;4;13;0;4;0;6;3;1;0;0;0;1;0;1;0;0;1;2;0;1;0;0;2;0;0;0;2;1;1;1;0;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W221;01;Mitte;221;Urnenwahlbezirk;02;75;O;1 630;1 146;484;0;688;21;2;686;107;79;215;70;42;2;61;7;37;2;4;0;6;1;0;0;0;0;2;0;0;0;3;0;14;0;2;0;0;0;1;1;1;1;1;1;2;0;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W222;01;Mitte;222;Urnenwahlbezirk;02;75;O;889;651;238;0;302;3;2;300;34;32;49;87;30;2;9;9;16;0;0;0;0;3;2;0;0;0;0;1;0;2;2;0;3;1;4;0;0;0;0;3;1;0;0;0;1;2;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W223;01;Mitte;223;Urnenwahlbezirk;02;75;O;1 614;1 225;389;0;790;6;12;778;114;74;216;175;63;6;26;18;21;0;3;0;2;6;7;0;0;1;2;1;0;0;0;0;10;0;5;1;1;0;2;0;1;1;0;2;4;1;1;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W224;01;Mitte;224;Urnenwahlbezirk;02;75;O;847;657;190;0;351;2;4;347;48;33;69;82;32;5;7;9;26;2;4;0;1;0;2;0;0;0;1;0;0;6;0;0;10;0;1;0;0;0;1;4;0;0;0;0;2;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W225;01;Mitte;225;Urnenwahlbezirk;02;75;O;1 404;1 034;370;0;563;2;6;557;94;51;108;133;58;7;25;6;26;3;4;0;1;6;2;1;0;1;1;0;0;1;0;0;6;0;4;0;0;1;0;5;0;0;0;1;2;3;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W226;01;Mitte;226;Urnenwahlbezirk;02;75;O;764;648;116;0;306;5;3;303;29;27;54;92;37;6;7;7;16;1;5;0;1;1;1;0;0;1;0;1;1;2;0;0;5;0;3;0;0;1;0;0;2;0;0;2;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W227;01;Mitte;227;Urnenwahlbezirk;02;75;O;1 486;1 127;359;0;717;16;4;713;78;45;282;110;44;7;27;8;48;1;6;0;2;3;3;0;0;0;0;2;0;0;4;0;14;0;3;0;1;1;1;1;1;0;2;2;4;1;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W228;01;Mitte;228;Urnenwahlbezirk;02;75;O;2 384;1 713;671;0;1 016;8;6;1 010;154;109;384;106;72;5;40;6;48;0;1;1;7;6;2;2;0;0;0;3;2;4;0;0;17;0;1;0;0;0;0;1;1;4;2;5;3;0;0;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W300;01;Mitte;300;Urnenwahlbezirk;03;75;W;1 324;1 078;246;0;511;4;7;504;63;25;178;57;23;7;16;15;46;0;3;0;3;2;0;2;0;0;2;0;0;4;4;0;21;0;3;0;1;0;1;1;0;0;0;5;2;0;0;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W301;01;Mitte;301;Urnenwahlbezirk;03;75;W;961;753;208;0;452;9;0;452;54;31;162;72;19;4;18;6;40;0;1;0;3;1;1;1;0;0;1;0;0;2;1;0;8;0;2;1;0;0;1;1;0;2;2;3;3;0;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W302;01;Mitte;302;Urnenwahlbezirk;03;75;W;1 192;1 001;191;0;511;5;5;506;49;44;177;71;32;6;19;14;43;0;1;0;8;1;0;0;0;1;2;1;0;1;4;0;8;0;0;0;1;0;0;1;0;1;0;1;1;3;2;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W303;01;Mitte;303;Urnenwahlbezirk;03;75;W;931;776;155;0;385;4;4;381;58;27;135;56;19;3;14;2;27;0;2;1;1;0;1;0;0;0;0;0;0;9;1;0;12;0;0;1;0;1;2;1;0;0;0;1;1;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W304;01;Mitte;304;Urnenwahlbezirk;03;75;W;912;746;166;0;452;7;1;451;62;40;181;53;24;5;17;8;20;2;0;0;7;3;0;0;0;0;0;0;0;1;0;0;6;0;0;2;1;0;0;0;0;0;1;1;5;0;1;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W305;01;Mitte;305;Urnenwahlbezirk;03;75;W;1 081;822;259;0;537;2;4;533;76;69;213;41;34;2;26;11;17;0;0;2;2;3;0;1;0;0;0;1;0;1;1;0;13;0;2;0;0;0;2;1;0;1;0;0;2;2;2;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W306;01;Mitte;306;Urnenwahlbezirk;03;75;W;1 371;1 011;360;0;689;12;4;685;87;37;309;77;19;9;32;12;35;1;2;0;7;4;0;0;0;0;0;3;0;0;0;0;20;0;0;0;1;0;1;2;1;0;3;3;4;1;1;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W307;01;Mitte;307;Urnenwahlbezirk;03;75;W;1 139;855;284;0;552;7;6;546;88;72;211;41;41;3;29;5;21;0;0;2;2;2;0;0;0;1;2;0;0;0;2;1;4;0;1;0;0;0;1;2;0;1;2;1;1;0;2;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W308;01;Mitte;308;Urnenwahlbezirk;03;75;W;1 184;895;289;0;622;6;2;620;100;56;288;42;25;5;29;7;28;0;2;1;4;2;1;2;0;1;2;1;0;0;1;0;9;0;0;0;0;2;0;0;0;1;0;1;0;1;1;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W309;01;Mitte;309;Urnenwahlbezirk;03;75;W;1 241;962;279;0;714;3;4;710;87;75;318;60;30;6;26;8;33;1;1;0;3;1;0;1;0;0;0;2;0;0;5;2;15;0;3;0;0;0;0;8;0;0;1;1;2;1;3;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W310;01;Mitte;310;Urnenwahlbezirk;03;75;W;916;700;216;0;423;5;6;417;70;37;174;45;20;6;16;3;13;0;2;0;1;2;0;0;0;0;1;0;0;1;1;0;4;0;0;0;0;1;1;2;2;0;0;1;0;0;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W311;01;Mitte;311;Urnenwahlbezirk;03;75;W;1 050;724;326;0;492;7;2;490;73;45;230;40;23;4;21;6;17;0;1;1;2;1;1;0;0;0;0;1;0;0;1;0;9;0;0;0;0;1;0;0;0;0;0;0;1;1;0;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W312;01;Mitte;312;Urnenwahlbezirk;03;75;W;835;599;236;0;359;5;2;357;42;30;149;38;18;5;12;5;22;0;1;0;2;1;0;0;0;0;1;0;2;2;1;0;10;0;1;0;0;0;0;0;0;0;0;3;0;0;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W313;01;Mitte;313;Urnenwahlbezirk;03;75;W;842;620;222;0;399;7;2;397;59;45;165;33;13;8;20;9;14;0;0;0;3;1;0;0;0;0;0;2;0;1;0;8;0;3;0;0;0;1;0;0;0;0;0;1;2;1;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W314;01;Mitte;314;Urnenwahlbezirk;03;75;W;1 141;907;234;0;502;5;3;499;87;69;154;37;34;9;30;12;22;0;2;1;2;1;1;0;0;2;0;1;0;9;0;0;5;0;6;1;0;1;0;3;0;0;1;0;2;0;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W315;01;Mitte;315;Urnenwahlbezirk;03;75;W;840;653;187;0;353;10;1;352;44;38;138;43;23;5;5;5;8;0;4;0;1;1;1;0;0;0;0;0;1;1;1;2;9;0;2;0;0;0;0;1;0;1;2;3;2;0;2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W316;01;Mitte;316;Urnenwahlbezirk;03;75;W;1 201;1 022;179;0;448;5;9;439;82;77;86;65;29;2;21;5;20;0;3;1;4;0;1;0;0;0;5;1;0;16;2;0;5;0;0;1;1;0;0;2;0;0;1;0;1;1;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
